metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.8180551909181046,0.7637110574486324,0.8690088981497707,0.7741790379286275,0.7216662092174196,0.7767889368007143
qcan-rouge-4-strict,0.5971116847199808,0.5267110533880495,0.6575122006463339,0.5815135310422004,0.4853301765369685,0.8066219630340217
qcan-rouge-4-flex,0.5863648149061023,0.5143569936240772,0.6498169403335341,0.558130043259965,0.45747137276482475,0.797114526147826
qcan-bleu-strict,0.5608012353624566,0.48111722148642533,0.6327230675780846,0.5525521647794477,0.4610923743761166,0.7939897042341811
naive-can-rouge-4,0.5436937045926026,0.4636016993345228,0.616434373858418,0.5152226595876582,0.42073468928948216,0.7772923275649184
qcan-bleu-flex,0.5414508696661998,0.45552921772972244,0.6160325592221368,0.47331737822937514,0.3786534294027555,0.7536994472199533
naive-can-bleu,0.4586288396958211,0.3603528106780168,0.5426129404528697,0.3862550063774643,0.30796989737105795,0.7064851927131812
rouge_4,0.4011657593376968,0.312171365241046,0.48646093842883603,0.3925292424827293,0.317272850188273,0.7069600896605437
sp-bleu,0.3555214853587665,0.25856213643022496,0.4460605805075678,0.3303147942059052,0.26339427858399894,0.6766236726630321
bleu,0.26062754761315116,0.16429258069480474,0.3538334829488965,0.2806209960128575,0.22122081017290557,0.6483388104781262
