metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
exact_match_spinach,0.6640925206990527,0.6267949085796917,0.7015156814048243,0.6087557199036383,0.5868281181740513,0.7805780370997762
qcan-rouge-4-strict,0.6581079379198604,0.623982156200067,0.6919452436749116,0.6056556876816289,0.5362646824088922,0.8795548654244306
qcan-rouge-4-flex,0.6517791326182588,0.6176898459792093,0.6834485602719729,0.5815209287311967,0.5063385506989762,0.8737844281322542
naive-can-rouge-4,0.6357878041228798,0.6012350454908739,0.6659755717134956,0.5724862434871749,0.4945844143051557,0.870983645983646
qcan-bleu-strict,0.6324391231401875,0.5954942517256676,0.6681357460677935,0.5932723260690133,0.5195072731387719,0.8736270573227095
qcan-bleu-flex,0.626564469129909,0.5896976017917829,0.6634230110345285,0.5404360537271455,0.44022215248671326,0.8600900307422047
naive-can-bleu,0.5864023664081854,0.5493333204828137,0.6217207567630394,0.471424797618236,0.37872477264788573,0.8105710312232052
rouge_4,0.413341261154209,0.36982415470205865,0.4540452116578186,0.4653123840799406,0.3941863523126463,0.7933433716042412
sp-bleu,0.38767304650540213,0.34327358213662357,0.4298262881332984,0.38687881422678727,0.3079313352403216,0.7526439341656733
bleu,0.27671663533788476,0.22862984510094067,0.3213188428872104,0.36663290103181123,0.2911946604861123,0.73886222473179
