metric,pearson,pearson_ci_low,pearson_ci_high,spearman,kendall_tau_b,pairwise_accuracy
answerset_f1,0.8304324192286379,0.7973757273633072,0.8619491768718043,0.8067176130137519,0.7406331684850835,0.9827296497921042
naive-can-rouge-4,0.4336938246994065,0.37052096051358746,0.49240775006680365,0.41741892739099873,0.34255526768072064,0.7729949847828883
qcan-rouge-4-strict,0.40388389229081234,0.3380423672106275,0.46788449260141896,0.391024252129419,0.3243736701301069,0.755090231042908
naive-can-bleu,0.4010623787877777,0.3349091683540611,0.4650148554239536,0.35708487154733803,0.2925744799734061,0.7335848086073128
qcan-rouge-4-flex,0.39923327682324383,0.3339039633579584,0.46520170580425696,0.38253839035015547,0.31551351096816976,0.7499721376827125
qcan-bleu-strict,0.3889016899321787,0.3201380031112875,0.45648284324445515,0.36752859920880093,0.3048897406927999,0.7397616700244332
qcan-bleu-flex,0.3804577155990433,0.3102074711532309,0.44898426409910475,0.3266525981044384,0.2677759114054258,0.7136653950019289
rouge_4,0.36767247531426783,0.29729850053327816,0.4388199512626141,0.33115351569202284,0.2721827272754488,0.7164944918341978
sp-bleu,0.32979962263705964,0.25874467577376065,0.3976924053433663,0.30479471978310935,0.24949385023351717,0.6993870290196751
bleu,0.3103322481409686,0.2388643086292056,0.3814310240113533,0.29942555610425775,0.24501669175984306,0.6958763770414506
